Vorname,Nachname,Email,Geburtstag,Login,Bezahlt
Hans,Meyer,hmeyer@gmail.com,1963-10-12,meha,Ja
Louise,Graf,louonair@hotmail.com,1982-02-17,,Nein
Wilma,Rall,wilma@immerda.ch,1978-12-12,rawi,Nein
Martin,Scheider,tinu@scope.ch,1984-04-13,tinu,Ja
Kurt,Aeschbacher,kuere@gmail.com,1994-10-30,,Nein
Amanda,Price,a.price@gmx.ch,1997-05-12,,Ja
Beatrice,Müller,mueller.bea@facebook.com,1973-11-01,,Nein
Armando,Di Pietro,signdipietro@green.ch,1964-08-09,,Nein
Vladimiro,Carnalino,miro_carnalino@fastweb.it,1974-06-12,miro,Ja
Tom,Sawyer,tom.s@interscope.net,1994-12-08,,Nein
Kyle,Hugentobler,djfruchtsalat@rock.ch,1990-03-29,,Nein
Peter,Tosh,tosh.pete@mail.co.uk,1989-01-23,tope,Ja
Jazmin,Valdez,jazmin@elgatocalculista.ch,1977-07-07,vaja,Nein
