Name,Vorname,Email,Geburtstag,Abteilung,Leitende Funktion,Gruppen
Meier,Heidi,h.meier@hsv.ch,12.3.1974,HR,ja,
Hauser,Peter,p.hauser@hsv.ch,21.4.1962,Entwicklung,nein,Somopho
Gündogan,Tacip,t.guendogan@hsv.ch,3.12.1944,Marketing,nein,Mitarbeiterrat
Gonzalez,Maria Pamela,m.gonzalez@hsv.ch,1.2.1991,Entwicklung,ja,GL
Hayes,Pete,p.hayes@hsv.ch,3.6.1983,Verkauf,nein,
Realmuto,Cassidy,c.realmuto@hsv.ch,18.10.1941,Entwicklung,nein,
Ream,Cassie,c.ream@hsv.ch,1.12.1981,HR,nein,
Reamer,Cassondra,c.reamer@hsv.ch,7.7.1948,Entwicklung,nein,Lehre
Reames,Cassy,c.reames@hsv.ch,22.5.1956,Verkauf,ja,
Reams,Catalina,c.reams@hsv.ch,27.8.1945,Entwicklung,nein,
Reamy,Catarina,c.reamy@hsv.ch,8.6.1991,Verkauf,nein,Mitarbeiterrat
Reando,Caterina,c.reando@hsv.ch,2.11.1940,HR,nein,
Reaney,Catharine,c.reaney@hsv.ch,15.7.1972,HR,nein,
Reano,Catherin,c.reano@hsv.ch,7.10.1960,Marketing,ja,Somopho
Reaollano,Catherina,c.reaollano@hsv.ch,21.6.1996,Verkauf,nein,
Reap,Catherine,c.reap@hsv.ch,13.4.1991,Marketing,ja,GL
Reaper,Cathern,c.reaper@hsv.ch,19.1.1989,HR,nein,
Rear,Catheryn,c.rear@hsv.ch,19.1.1978,Entwicklung,nein,
Rearden,Cathey,c.rearden@hsv.ch,1.9.1968,HR,nein,
Reardon,Cathi,c.reardon@hsv.ch,11.1.1965,Entwicklung,nein,"Mitarbeiterrat, Sport"
Rearick,Cathie,c.rearick@hsv.ch,19.2.1973,Entwicklung,nein,
Reary,Cathleen,c.reary@hsv.ch,24.10.1971,Verkauf,nein,
Reas,Cathrine,c.reas@hsv.ch,4.3.1953,Verkauf,nein,
Rease,Cathryn,c.rease@hsv.ch,10.5.1967,Marketing,nein,Sport
Reaser,Cathy,c.reaser@hsv.ch,23.9.1999,Marketing,nein,
Reash,Catina,c.reash@hsv.ch,16.3.1969,Marketing,ja,
Reasinger,Catrice,c.reasinger@hsv.ch,26.10.1980,Entwicklung,ja,
Reasner,Catrina,c.reasner@hsv.ch,21.4.1983,Verkauf,nein,
Reason,Cayla,c.reason@hsv.ch,22.1.1952,Marketing,nein,Sport
Reasoner,Cecelia,c.reasoner@hsv.ch,2.11.1957,Verkauf,nein,
Reasonover,Cecil,c.reasonover@hsv.ch,19.8.1973,HR,ja,Mitarbeiterrat
Reasons,Cecil,c.reasons@hsv.ch,3.1.1979,HR,nein,
Reasor,Cecila,c.reasor@hsv.ch,9.5.1985,Entwicklung,ja,
Reategui,Cecile,c.reategui@hsv.ch,25.9.1974,Entwicklung,nein,Sport
Reath,Cecilia,c.reath@hsv.ch,22.9.1971,HR,ja,"GL, HR, Mitarbeiterrat"
Reatherford,Cecille,c.reatherford@hsv.ch,12.9.1942,Entwicklung,nein,
Reau,Cecily,c.reau@hsv.ch,20.10.1954,HR,nein,
Reauish,Cedric,c.reauish@hsv.ch,1.2.1950,HR,nein,Somopho
Reaume,Cedrick,c.reaume@hsv.ch,9.1.1980,Marketing,ja,
Reaux,Celena,c.reaux@hsv.ch,8.7.1971,Entwicklung,nein,Lehre
Reavely,Celesta,c.reavely@hsv.ch,15.9.1975,HR,nein,"Sport, Lehre"
Reaver,Celeste,c.reaver@hsv.ch,20.6.1991,Verkauf,nein,
Reaves,Celestina,c.reaves@hsv.ch,25.5.1964,HR,nein,"Mitarbeiterrat, Somopho"
Reavis,Celestine,c.reavis@hsv.ch,3.4.1997,Verkauf,nein,
Reavish,Celia,c.reavish@hsv.ch,15.10.1982,Entwicklung,ja,
